Date,Bundesland,Besonders betroffene Gebiete,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle
2020-03-22,Thüringen,,216,29,10,
2020-03-22,Schles­wig-Holstein,,347,39,12,1
2020-03-22,Sachsen-Anhalt,,211,23,10,
2020-03-22,Sachsen,,606,39,15,
2020-03-22,Saarland,,187,0,19,
2020-03-22,Rhein­land-Pfalz,,1053,115,26,2
2020-03-22,Nordrhein-West­falen,Landkreis Heinsberg,3545,3,20,6
2020-03-22,Niedersachsen,,1306,283,16,1
2020-03-22,Baden-Württem­berg,,3807,139,34,21
2020-03-22,Hessen,,1175,95,19,2
2020-03-22,Hamburg,,872,285,47,
2020-03-22,Bremen,,165,23,24,
2020-03-22,Brandenburg,,274,20,11,
2020-03-22,Berlin,,1024,158,27,1
2020-03-22,Bayern,,3650,690,28,21
2020-03-22,Mecklenburg-Vor­pommern,,172,7,11,
2020-03-23,Baden-Württem­berg,,3811,4,34,21
2020-03-23,Thüringen,,249,33,12,
2020-03-23,Schles­wig-Holstein,,383,36,13,1
2020-03-23,Sachsen-Anhalt,,212,1,10,
2020-03-23,Sachsen,,653,47,16,
2020-03-23,Saarland,,200,13,20,
2020-03-23,Rhein­land-Pfalz,,1177,124,29,2
2020-03-23,Nordrhein-West­falen,Landkreis Heinsberg,5615,2070,31,28
2020-03-23,Niedersachsen,,1483,177,19,4
2020-03-23,Mecklenburg-Vor­pommern,,172,0,11,
2020-03-23,Hessen,,1347,172,21,3
2020-03-23,Hamburg,,943,71,51,
2020-03-23,Bremen,,170,5,25,
2020-03-23,Brandenburg,,288,14,11,
2020-03-23,Berlin,,1077,53,29,1
2020-03-23,Bayern,,4892,1242,37,26
2020-03-24,Thüringen,,327,78,15,1
2020-03-24,Schles­wig-Holstein,,478,95,17,2
2020-03-24,Sachsen,,811,158,20,1
2020-03-24,Saarland,,337,137,34,1
2020-03-24,Rhein­land-Pfalz,,1370,193,34,5
2020-03-24,Niedersachsen,,1764,281,22,6
2020-03-24,Sachsen-Anhalt,,321,109,15,
2020-03-24,Nordrhein-West­falen,Landkreis Heinsberg,6318,703,35,33
2020-03-24,Hessen,,1620,273,26,4
2020-03-24,Hamburg,,1043,100,57,
2020-03-24,Bremen,,183,13,27,
2020-03-24,Brandenburg,,343,55,14,
2020-03-24,Berlin,,1220,143,33,1
2020-03-24,Bayern,,5754,862,44,30
2020-03-24,Baden-Württem­berg,,5348,1537,48,30
2020-03-24,Mecklenburg-Vor­pommern,,199,27,12,
2020-03-25,Thüringen,,394,67,18,1
2020-03-25,Schles­wig-Holstein,,577,99,20,3
2020-03-25,Sachsen-Anhalt,,375,54,17,1
2020-03-25,Saarland,,403,66,41,2
